Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
BOLIVAR,CANTAGALLO,7.239229146,-74.10014043,POINT (-74.10014043 7.239229146),ECOPETROL S.A.,YARIGUÍ-CANTAGALLO,MAGDALENA MEDIO-YARIGUI-CANTAGALLO,4.2601,4.1712,5.1566,5.0079,5.3296,4.8002,4.3285,4.3676,37.4217,1122.651,,
BOLIVAR,CICUCO,9.235268598,-74.68840962,POINT (-74.68840962 9.235268598),HOCOL S.A.,CICUCO,CICUCO BOQUETE,1.592,1.5917,1.4809,1.4509,1.4329,1.3702,1.463,1.3846,11.7662,352.986,,
BOLIVAR,TALAIGUA NUEVO,9.269516705,-74.58695233,POINT (-74.58695233 9.269516705),HOCOL S.A.,BOQUETE,CICUCO BOQUETE,0.1498,0.2054,0.1786,0.1267,0.1848,0.2203,0.1784,0.1301,1.3741,41.223,,
BOLIVAR,TALAIGUA NUEVO,9.269516705,-74.58695233,POINT (-74.58695233 9.269516705),HOCOL S.A.,CICUCO,CICUCO BOQUETE,0.3664,0.441,0.464,0.2893,0.2731,0.3707,0.2831,0.344,2.8316,84.948,,
BOYACA,CORRALES,5.82454582,-72.84544845,POINT (-72.84544845 5.82454582),UNION TEMPORAL OMEGA ENERGY,CORRALES,BUENAVISTA,4.04,4.0012,3.9967,4.0328,3.9668,3.9017,3.8202,3.8524,31.6118,948.354,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,ABARCO,NARE,0.1083,0.132,0.1493,0.1697,0.1256,0.0592,0.075,0.0843,0.9034,27.102,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),ECOPETROL S.A.,CAIPAL,PALAGUA,0.3588,0.3515,0.374,0.3433,0.3175,0.3685,0.3984,0.4222,2.9342,88.026,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,GIRASOL,NARE,0.8101,0.7578,0.7,0.8355,0.771,0.5354,0.7328,0.8005,5.9431,178.293,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,JAZMIN,NARE,1.5234,1.7139,1.607,1.506,1.3575,0.6592,1.4191,1.2938,11.0799,332.397,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,MORICHE,NARE,0.7138,0.7436,0.7006,0.6987,0.6555,0.4006,0.684,0.6668,5.2636,157.908,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),ECOPETROL S.A.,PALAGUA,PALAGUA,2.5677,2.5995,2.5425,2.5643,2.6551,2.7779,2.8308,2.7897,21.3275,639.825,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,UNDERRIVER,NARE,0.1857,0.2277,0.2403,0.2404,0.1829,0.1183,0.18,0.1884,1.5637,46.911,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,VELASQUEZ,GUAGUAQUI - TERAN,0.3892,0.431,0.4308,0.4451,0.4392,0.4131,0.4253,0.4026,3.3763,101.289,,
BOYACA,SAN LUIS DE GACENO,4.798203543,-73.13397018,POINT (-73.13397018 4.798203543),NIKOIL ENERGY CORP,MEDINA,CÓNDOR,0.0198,0.0377,0.0386,0.0338,0.0365,0.0361,0.0194,0,0.2219,6.657,,
BOYACA,TOPAGA,5.765350303,-72.83672958,POINT (-72.83672958 5.765350303),UNION TEMPORAL OMEGA ENERGY,BOLÍVAR,BUENAVISTA,0.0017,0.0019,0.002,0.002,0.002,0.0021,0.002,0.0019,0.0156,0.468,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),ECOPETROL S.A.,CUPIAGUA,ECOP-SDLA-OP-DIRECTA,306.9654,300.9325,294.2063,291.153,292.2429,274.6734,268.258,238.4295,2266.861,68005.83,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),ECOPETROL S.A.,CUPIAGUA LIRIA,RECETOR,86.5493,87.1805,87.3896,84.8718,80.8077,75.506,92.4823,61.2712,656.0584,19681.752,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),ECOPETROL S.A.,CUPIAGUA SUR,ECOP-SDLA-OP-DIRECTA,178.0606,187.7782,179.6531,174.4374,146.3517,174.2886,191.8668,201.352,1433.7884,43013.652,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),ECOPETROL S.A.,CUSIANA NORTE,CUSIANA NORTE,72.6145,72.6674,69.3701,68.1609,70.9361,69.1762,72.4816,68.4077,563.8145,16914.435,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),PERENCO COLOMBIA LIMITED,LA GLORIA,CASANARE,0.2348,0.2413,0.2367,0.2452,0.1341,0.1261,0.1707,0.1925,1.5814,47.442,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),CEPSA COLOMBIA S.A.,RAMIRIQUI,LLA 22,1.6092,1.5716,1.5492,1.5306,1.4001,0.691,0.1732,1.1476,9.6725,290.175,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,RUMBA,LLA 26,0.3342,0.3024,0.2571,0.2698,0.263,0.3312,0.3162,0.3249,2.3988,71.964,,
CASANARE,HATO COROZAL,6.03948032,-71.52445752,POINT (-71.52445752 6.03948032),GREEN POWER SUCURSAL COLOMBIA,OJO DE TIGRE,JOROPO,0,0,0,0,0,0.0097,0,0,0.0097,0.291,,
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),EMERALD ENERGY PLC SUCURSAL COLOMBIA,CAMPO RICO,CAMPO RICO,0.0047,0.0047,0.0047,0.0046,0.0046,0.0046,0.0049,0.0049,0.0377,1.131,,
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),EMERALD ENERGY PLC SUCURSAL COLOMBIA,CENTAURO SUR,CAMPO RICO,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0008,0.0012,0.0046,0.138,,
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),PERENCO COLOMBIA LIMITED,LA GLORIA,CASANARE,0.2777,0.2795,0.2682,0.2786,0.0858,0.0694,0.0221,0,1.2813,38.439,,
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),HOCOL S.A.,LA PUNTA,LA PUNTA,0.0018,0.0018,0.0038,0.0036,0.004,0.004,0.0039,0.0038,0.0267,0.801,,
