Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,TRINIDAD,5.354527091,-71.25479519,POINT (-71.25479519 5.354527091),PERENCO COLOMBIA LIMITED,COROCORA,COROCORA,0.0864,0.0903,0.1162,0.1132,0.097,0.0961,0.0949,0.0916,0.7857,23.571,,
CASANARE,TRINIDAD,5.354527091,-71.25479519,POINT (-71.25479519 5.354527091),LEWIS ENERGY COLOMBIA INC,LOS ACEITES,GUACHIRÍA,0,0,0.0087,0.0604,0.0329,0.0527,0.0538,0.0554,0.2639,7.917,,
CASANARE,TRINIDAD,5.354527091,-71.25479519,POINT (-71.25479519 5.354527091),LEWIS ENERGY COLOMBIA INC,PRIMAVERA,GUACHIRÍA,0,0,0.0007,0.008,0.0068,0.0105,0.01,0.0092,0.0452,1.356,,
CASANARE,TRINIDAD,5.354527091,-71.25479519,POINT (-71.25479519 5.354527091),LEWIS ENERGY COLOMBIA INC,TULIPÁN,GUACHIRIA SUR,0,0,0.0079,0.0088,0.0113,0.0141,0.0137,0.0136,0.0694,2.082,,
CASANARE,VILLA NUEVA,4.528307719,-72.82314281,POINT (-72.82314281 4.528307719),Frontera Energy Colombia Corp Sucursal Colombia,CARUTO,CORCEL,0.0465,0.0451,0.0442,0.0437,0.0414,0.0409,0.0403,0.042,0.3441,10.323,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),ECOPETROL S.A.,FLOREÑA,PIEDEMONTE,81.7998,112.0662,113.889,110.3068,114.7418,27.5437,51.2528,111.5803,723.1804,21695.412,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),ECOPETROL S.A.,FLOREÑA MIRADOR,PIEDEMONTE,55.4666,69.2818,70.036,69.0126,74.1878,53.9462,62.9813,74.0061,528.9184,15867.552,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),PERENCO COLOMBIA LIMITED,LA GLORIA NORTE,CASANARE,0.4433,0.4962,0.5336,0.5078,0.427,0.4594,0.4057,0.4458,3.7188,111.564,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),PERENCO COLOMBIA LIMITED,MORICHAL,CASANARE,0.4377,0.455,0.4666,0.4778,0.4655,0.4552,0.4854,0.5128,3.756,112.68,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),ECOPETROL S.A.,PAUTO SUR,PIEDEMONTE,403.5776,410.4107,402.1125,409.1061,398.1915,353.7914,365.3708,365.7917,3108.3523,93250.569,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),ECOPETROL S.A.,PAUTO SUR RECETOR,RECETOR,10.6018,10.485,10.6622,10.3879,9.6745,9.4988,9.0233,8.7768,79.1103,2373.309,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),CANACOL ENERGY COLOMBIA SAS,RANCHO HERMOSO,RANCHO HERMOSO,0.0019,0.0019,0.0019,0.0017,0.0017,0.0058,0.0065,0.0058,0.0272,0.816,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),COLOMBIA ENERGY DEVELOPMENT CO,TILODIRÁN,RIO VERDE,0.5021,0.4956,0.48,0.4887,0.4837,0.4783,0.4904,0.4873,3.9061,117.183,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),PERENCO COLOMBIA LIMITED,TOCARIA,CASANARE,0.3165,0.3079,0.315,0.3036,0.2721,0.2493,0.2591,0,2.0235,60.705,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),EMERALD ENERGY PLC SUCURSAL COLOMBIA,VIGIA,CAMPO RICO,0.0375,0.0384,0.0361,0.0385,0.0347,0.0377,0.0322,0.0321,0.2872,8.616,,
CASANARE,YOPAL,5.242744761,-72.25802857,POINT (-72.25802857 5.242744761),ECOPETROL S.A.,VOLCANERA,RECETOR,0,0,0,0,0,0.0422,0,0,0.0422,1.266,,
CESAR,AGUACHICA,8.248735219,-73.6227405,POINT (-73.6227405 8.248735219),LEWIS ENERGY COLOMBIA INC,CARAMELO,VMM 1,1.9128,1.9039,1.8499,1.7464,1.7198,1.6561,0,0,10.7889,323.667,,
CESAR,AGUACHICA,8.248735219,-73.6227405,POINT (-73.6227405 8.248735219),WATTLE PETROLEUM COMPANY S.A.S,CARAMELO,VMM 1,0,0,0,0,0,0,1.4393,1.3579,2.7972,83.916,,
CESAR,AGUACHICA,8.248735219,-73.6227405,POINT (-73.6227405 8.248735219),CARRAO ENERGY S.A. SUCURSAL COLOMBIA,MONO ARAÑA,VMM 2,0.1363,0.143,0.0688,0.0415,0,0,0,0,0.3896,11.688,,
