Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
TOLIMA,PURIFICACIÓN,3.854281614,-74.87451155,POINT (-74.87451155 3.854281614),HOCOL S.A.,PURIFICACIÓN,ESPINAL,0,0,0,0,0,0,0,20,20,600,,
TOLIMA,SAN LUIS,4.057271684,-75.16320806,POINT (-75.16320806 4.057271684),HOCOL S.A.,PACANDE,ORTEGA,68,67,68,67,64,21,46,0,401,12030,,
,,,,,,,,,,,,,,,,5858799," $175,763,970.00 ",,
,,,,,,,,,,,,,,,,175763970,,,
,,,,,,,,,,,,,,,,,136061375,,
,,,,,,,,,,,,,,,,,46714908,,
,,,,,,,,,,,,,,,,,20284834,,
,,,,,,,,,,,,,,,,,17717904,,
,,,,,,,,,,,,,,,,,9607404,,
,,,,,,,,,,,,,,,,,7922941,,
,,,,,,,,,,,,,,,,,7652042,,
,,,,,,,,,,,,,,,,,6811967,,
,,,,,,,,,,,,,,,,,5696995,,
,,,,,,,,,,,,,,,,,5260369,,
,,,,,,,,,,,,,,,,,3927051,,
,,,,,,,,,,,,,,,,,567907,,
,,,,,,,,,,,,,,,,,191235,,
,,,,,,,,,,,,,,,,,160229,,
,,,,,,,,,,,,,,,,,100255,,
,,,,,,,,,,,,,,,,,28624,,
,,,,,,,,,,,,,,,,,10621,,
,,,,,,,,,,,,,,,,,1288,,
,,,,,,,,,,,,,,,,,314,,
,,,,,,,,,,,,,,,,," $268,718,263.00 ",,
,,,,,,,,,,,,,,,,," $270,000,000.00 ",,
